Name,Team,AVG,OBP,SLG,OPS,BABIP,wRC+,xBA,wOBA,xwOBA,ERA,ERA-,FIP,xFIP,FIP-,xFIP-,WHIP,SIERA
Jake Cave,PHI,0.212,0.272,0.348,0.62,0.27,66.0,0.204,0.271,0.283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jake Cousins,MIL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.82,110.0,6.36,5.86,144.0,134.0,2.14,6.62
Jake Cronenworth,SDP,0.229,0.312,0.378,0.689,0.267,92.0,0.236,0.301,0.304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jake Diekman,- - -,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.34,80.0,3.75,4.52,89.0,105.0,1.32,4.58
Jake Faria,BOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,496.0,6.26,9.56,145.0,223.0,4.0,7.84
Jake Fraley,CIN,0.256,0.339,0.443,0.783,0.283,107.0,0.261,0.338,0.328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jake Irvin,WSN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.61,105.0,5.3,5.14,120.0,117.0,1.42,5.09
Jake Lamb,LAA,0.216,0.259,0.353,0.612,0.265,64.0,0.228,0.267,0.277,0.0,0.0,3.26,8.22,74.0,192.0,1.0,10.75
Jake Latz,TEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,5.19,70.0,121.0,0.63,4.89
Jake Marisnick,- - -,0.237,0.28,0.408,0.688,0.296,85.0,0.229,0.294,0.281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jake McCarthy,ARI,0.243,0.318,0.326,0.644,0.305,79.0,0.244,0.289,0.293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jake Meyers,HOU,0.227,0.296,0.382,0.678,0.283,88.0,0.214,0.297,0.285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jake Rogers,DET,0.221,0.286,0.444,0.73,0.268,97.0,0.229,0.312,0.326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jake Wong,CIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,196.0,6.26,7.36,135.0,168.0,3.0,7.66
Jake Woodford,STL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.23,146.0,6.61,5.28,153.0,120.0,1.74,5.35
Jakob Junis,SFG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.87,92.0,3.74,3.66,89.0,84.0,1.29,3.36
Jalen Beeks,TBR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.95,146.0,3.82,4.43,93.0,103.0,1.49,4.26
James Kaprielian,OAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.34,155.0,5.07,5.65,122.0,132.0,1.59,5.18
James Karinchak,CLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.23,77.0,4.97,4.97,118.0,116.0,1.33,4.36
James McArthur,KCR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.63,104.0,2.78,2.8,65.0,65.0,0.94,2.65
James McCann,BAL,0.222,0.269,0.377,0.646,0.274,77.0,0.259,0.279,0.319,0.0,0.0,3.26,3.26,77.0,76.0,2.0,3.11
James Naile,STL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8,206.0,4.95,5.29,115.0,121.0,2.35,5.43
James Outman,LAD,0.248,0.353,0.437,0.79,0.343,118.0,0.228,0.344,0.326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
